iso_code,continent,location,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,total_tests,total_tests_per_thousand,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,population,median_age,gdp_per_capita,human_development_index,CPI_score_2020,vaccines_used
TWN,Asia,Taiwan,2021-04-01,1036,10,43.499,0.42,190986,8.019,16450,16450,0,0.07,0.07,0,23816775,42.2,NA,0.907,65,NA
TJK,Asia,Tajikistan,2021-04-01,13308,90,1395.313,9.436,0,0,0,0,0,0,0,0,9537642,23.3,2896.913,0.668,25,AstraZeneca - AZD1222
TZA,Africa,Tanzania,2021-04-01,509,21,8.521,0.352,0,0,0,0,0,0,0,0,59734213,17.7,2683.304,0.529,38,NA
THA,Asia,Thailand,2021-04-01,28889,94,413.883,1.347,3301635,47.301,0,0,0,0,0,0,69799978,40.1,16277.671,0.777,36,Janssen - Ad26.COV 2.5
THA,Asia,Thailand,2021-04-01,28889,94,413.883,1.347,3301635,47.301,0,0,0,0,0,0,69799978,40.1,16277.671,0.777,36,SII - Covishield
THA,Asia,Thailand,2021-04-01,28889,94,413.883,1.347,3301635,47.301,0,0,0,0,0,0,69799978,40.1,16277.671,0.777,36,Sinovac - CoronaVac
TLS,Asia,Timor,2021-04-01,643,0,487.697,0,0,0,0,0,0,0,0,0,1318442,18,6570.102,0.606,40,SII - Covishield
TGO,Africa,Togo,2021-04-01,10654,110,1286.911,13.287,276186,33.361,0,0,0,0,0,0,8278737,19.4,1429.813,0.515,29,SII - Covishield
TTO,North America,Trinidad and Tobago,2021-04-01,8072,145,5767.811,103.609,110530,78.979,0,0,0,0,0,0,1399491,36.2,28763.071,0.796,40,AstraZeneca - AZD1222
TTO,North America,Trinidad and Tobago,2021-04-01,8072,145,5767.811,103.609,110530,78.979,0,0,0,0,0,0,1399491,36.2,28763.071,0.796,40,SII - Covishield
TUN,Africa,Tunisia,2021-04-01,255308,8843,21602.187,748.226,1109826,93.905,0,0,0,0,0,0,11818618,32.7,10849.297,0.74,44,AstraZeneca - AZD1222
TUN,Africa,Tunisia,2021-04-01,255308,8843,21602.187,748.226,1109826,93.905,0,0,0,0,0,0,11818618,32.7,10849.297,0.74,44,Gamaleya - Sputnik V
TUN,Africa,Tunisia,2021-04-01,255308,8843,21602.187,748.226,1109826,93.905,0,0,0,0,0,0,11818618,32.7,10849.297,0.74,44,Pfizer BioNTech - Comirnaty
TUR,Asia,Turkey,2021-04-01,3357988,31713,39815.333,376.018,38821795,460.306,16148683,9206500,6942183,19.15,10.92,8.23,84339067,31.6,25129.341,0.82,40,Pfizer BioNTech - Comirnaty
TUR,Asia,Turkey,2021-04-01,3357988,31713,39815.333,376.018,38821795,460.306,16148683,9206500,6942183,19.15,10.92,8.23,84339067,31.6,25129.341,0.82,40,Sinovac - CoronaVac
UGA,Africa,Uganda,2021-04-01,40889,335,893.924,7.324,948526,20.737,0,0,0,0,0,0,45741000,16.4,1697.707,0.544,27,SII - Covishield
UKR,Europe,Ukraine,2021-04-01,1742710,34885,39848.164,797.668,8179905,187.039,267835,267833,2,0.61,0.61,0,43733759,41.4,7894.393,0.779,33,AstraZeneca - AZD1222
UKR,Europe,Ukraine,2021-04-01,1742710,34885,39848.164,797.668,8179905,187.039,267835,267833,2,0.61,0.61,0,43733759,41.4,7894.393,0.779,33,Pfizer BioNTech - Comirnaty
UKR,Europe,Ukraine,2021-04-01,1742710,34885,39848.164,797.668,8179905,187.039,267835,267833,2,0.61,0.61,0,43733759,41.4,7894.393,0.779,33,Sinovac - CoronaVac
ARE,Asia,United Arab Emirates,2021-04-01,463759,1499,46889.812,151.561,37836288,3825.557,8391302,0,0,84.84,0,0,9890400,34,67293.483,0.89,71,AstraZeneca - AZD1222
ARE,Asia,United Arab Emirates,2021-04-01,463759,1499,46889.812,151.561,37836288,3825.557,8391302,0,0,84.84,0,0,9890400,34,67293.483,0.89,71,Pfizer BioNTech - Comirnaty
ARE,Asia,United Arab Emirates,2021-04-01,463759,1499,46889.812,151.561,37836288,3825.557,8391302,0,0,84.84,0,0,9890400,34,67293.483,0.89,71,Beijing CNBG - Inactivated
ARE,Asia,United Arab Emirates,2021-04-01,463759,1499,46889.812,151.561,37836288,3825.557,8391302,0,0,84.84,0,0,9890400,34,67293.483,0.89,71,Wuhan CNBG - Inactivated
ARE,Asia,United Arab Emirates,2021-04-01,463759,1499,46889.812,151.561,37836288,3825.557,8391302,0,0,84.84,0,0,9890400,34,67293.483,0.89,71,Gamaleya - Sputnik V
GBR,Europe,United Kingdom,2021-04-01,4364547,127006,64292.295,1870.872,125225481,1844.644,36277136,31318262,4958874,53.44,46.13,7.3,67886004,40.8,39753.244,0.932,77,AstraZeneca - AZD1222
